Attrition,OverTime,JobLevel,TotalWorkingYears,Age,YearsInCurrentRole,MonthlyIncome,MaritalStatus,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,C0,C1
0,0,4,32,50,4,0.8642691415313225,0,3,4,4,21.80426271778068,5.634262229175659
0,0,2,7,36,2,0.20734022358152288,0,3,2,2,-5.14292757240208,-3.064101396428427
1,0,1,1,21,0,0.08806159038177601,2,3,2,2,-20.64605112370609,1.45885779331873
0,0,3,18,52,6,0.4975743514026577,2,3,2,2,14.528211053923854,-4.10713120202016
1,1,3,15,33,6,0.6644695211980595,1,3,3,2,-1.7749069119777232,5.811932948451597
0,1,3,28,47,11,0.4916684243830416,0,2,2,3,17.70602910214376,7.666514289180375
0,0,2,4,22,2,0.1985867960345919,1,2,4,4,-17.672229793740964,3.7164341049491316
0,1,2,7,33,5,0.22985657034380935,0,3,4,3,-7.073993478066683,0.04080607267857417
0,0,3,15,40,11,0.5191942628137524,3,2,4,3,4.091320229322527,3.4756454577636067
0,0,2,8,27,2,0.21419531744357734,2,1,4,4,-11.334390229047326,3.232510285772884
0,0,1,8,40,0,0.07366589327146171,1,3,4,1,-1.777427945113132,-5.80084656438606
0,0,3,23,55,2,0.5255747732545877,1,3,2,4,19.534296270708758,-4.336611433960357
1,1,1,5,33,2,0.06876186458553048,2,2,2,1,-8.772575958373558,-2.57478360256437
1,0,3,17,37,1,0.5062223159670955,1,2,3,1,1.9585362929325427,2.5937174631175672
0,0,5,26,46,4,0.9375659143640582,1,2,2,4,15.007961280152408,4.269350218984277
0,0,2,10,38,8,0.47010124446319346,1,3,2,3,-1.0240073795680757,0.11229583081928851
0,0,2,10,30,2,0.19078253533009915,1,2,4,1,-7.773921413439414,2.685028244517925
0,0,2,15,36,12,0.23186036701117907,0,1,4,4,1.1115785505860671,6.312293417410348
0,0,5,21,40,8,0.9926175912254798,2,3,2,2,7.731446586242129,6.366302628034277
0,0,4,22,53,13,0.7299620333263025,0,3,3,3,18.72414923312914,0.853838071987969
0,0,2,10,32,5,0.2352351824509597,0,3,2,4,-5.915520784329331,2.6295122136261
0,1,2,4,55,2,0.15956549251212826,1,3,3,4,7.3215382757203855,-16.93852064753158
0,0,2,11,30,4,0.2679814385150812,2,1,4,3,-6.912921498812203,4.15853718050886
1,1,1,1,23,0,0.031217042817970886,1,4,1,3,-19.131733474612904,0.1915951948011596
0,0,2,10,51,0,0.2701434296561907,1,2,3,2,7.901543184573995,-11.277576462043715
